iter	Passed	Remaining
0	1	99
1	1	85
2	2	84
3	3	74
4	3	74
5	4	73
6	5	71
7	6	69
8	6	67
9	7	67
10	8	66
11	8	64
12	9	64
13	10	63
14	11	63
15	12	63
16	12	63
17	13	62
18	14	61
19	15	61
20	15	60
21	16	58
22	17	58
23	18	58
24	19	57
25	19	56
26	20	56
27	21	55
28	22	54
29	23	54
30	24	53
31	24	52
32	25	51
33	26	51
34	27	50
35	27	49
36	28	48
37	29	47
38	30	47
39	30	46
40	31	45
41	31	44
42	32	43
43	33	42
44	34	41
45	34	40
46	35	40
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	42	31
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	48	25
65	48	25
66	49	24
67	50	23
68	51	22
69	51	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	56	17
76	57	17
77	58	16
78	58	15
79	59	14
80	60	14
81	61	13
82	62	12
83	62	11
84	63	11
85	64	10
86	65	9
87	65	8
88	66	8
89	67	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	72	3
96	72	2
97	73	1
98	74	0
99	75	0
